,sid,gid,order,variable,value
642,32010050704,91,19,self_x,350
643,32010050704,301,20,self_x,910
644,32010050704,61,21,self_x,410
645,32010050704,331,22,self_x,960
646,32010050704,281,23,self_x,970
647,32010050704,381,24,self_x,1050
648,32010050704,321,25,self_x,950
649,32010050704,51,26,self_x,390
650,32010050704,141,27,self_x,720
651,32010050704,171,28,self_x,640
652,32010050704,241,29,self_x,740
653,32010050704,231,30,self_x,670
654,32010050704,251,31,self_x,780
655,32010050704,181,32,self_x,660
656,32010050704,261,33,self_x,790
657,32010050704,191,34,self_x,680
658,32010050704,161,35,self_x,620
659,32010050704,211,36,self_x,600
660,32010050704,151,37,self_x,700
661,32010050704,201,38,self_x,690
662,32010050704,221,39,self_x,620
663,32010050705,101,1,self_x,400
664,32010050705,51,2,self_x,390
665,32010050705,31,3,self_x,350
666,32010050705,351,4,self_x,890
667,32010050705,271,5,self_x,990
668,32010050705,301,6,self_x,910
669,32010050705,321,7,self_x,950
670,32010050705,61,8,self_x,410
671,32010050705,371,9,self_x,1010
672,32010050705,41,10,self_x,370
673,32010050705,91,11,self_x,350
674,32010050705,281,12,self_x,970
675,32010050705,111,13,self_x,470
676,32010050705,391,14,self_x,1060
677,32010050705,361,15,self_x,940
678,32010050705,331,16,self_x,960
679,32010050705,81,17,self_x,330
680,32010050705,381,18,self_x,1050
681,32010050705,291,19,self_x,890
682,32010050705,11,20,self_x,450
683,32010050705,311,21,self_x,930
684,32010050705,131,22,self_x,520
685,32010050705,71,23,self_x,420
686,32010050705,21,24,self_x,430
687,32010050705,341,25,self_x,870
688,32010050705,121,26,self_x,510
689,32010050705,231,27,self_x,670
690,32010050705,151,28,self_x,700
691,32010050705,261,29,self_x,790
692,32010050705,241,30,self_x,740
693,32010050705,141,31,self_x,720
694,32010050705,251,32,self_x,780
695,32010050705,181,33,self_x,660
696,32010050705,161,34,self_x,620
697,32010050705,221,35,self_x,620
698,32010050705,201,36,self_x,690
699,32010050705,171,37,self_x,640
700,32010050705,191,38,self_x,680
701,32010050705,211,39,self_x,600
702,32010050706,381,1,self_x,1050
703,32010050706,281,2,self_x,970
704,32010050706,71,3,self_x,420
705,32010050706,321,4,self_x,950
706,32010050706,81,5,self_x,330
707,32010050706,111,6,self_x,470
708,32010050706,61,7,self_x,410
709,32010050706,331,8,self_x,960
710,32010050706,361,9,self_x,940
711,32010050706,391,10,self_x,1060
712,32010050706,301,11,self_x,910
713,32010050706,291,12,self_x,890
714,32010050706,31,13,self_x,350
715,32010050706,271,14,self_x,990
716,32010050706,51,15,self_x,390
717,32010050706,21,16,self_x,430
718,32010050706,341,17,self_x,870
719,32010050706,121,18,self_x,510
720,32010050706,351,19,self_x,890
721,32010050706,311,20,self_x,930
722,32010050706,11,21,self_x,450
723,32010050706,101,22,self_x,400
724,32010050706,41,23,self_x,370
725,32010050706,91,24,self_x,350
726,32010050706,371,25,self_x,1010
727,32010050706,131,26,self_x,520
728,32010050706,211,27,self_x,600
729,32010050706,171,28,self_x,640
730,32010050706,151,29,self_x,700
731,32010050706,251,30,self_x,780
732,32010050706,181,31,self_x,660
733,32010050706,141,32,self_x,720
734,32010050706,261,33,self_x,790
735,32010050706,201,34,self_x,690
736,32010050706,231,35,self_x,670
737,32010050706,221,36,self_x,620
738,32010050706,161,37,self_x,620
739,32010050706,191,38,self_x,680
740,32010050706,241,39,self_x,740
741,32010051907,81,1,self_x,330
742,32010051907,31,2,self_x,350
743,32010051907,131,3,self_x,520
744,32010051907,41,4,self_x,370
745,32010051907,91,5,self_x,350
746,32010051907,361,6,self_x,940
747,32010051907,371,7,self_x,1010
748,32010051907,281,8,self_x,970
749,32010051907,71,9,self_x,420
750,32010051907,51,10,self_x,390
751,32010051907,311,11,self_x,930
752,32010051907,341,12,self_x,870
753,32010051907,391,13,self_x,1060
754,32010051907,381,14,self_x,1050
755,32010051907,291,15,self_x,890
756,32010051907,121,16,self_x,510
757,32010051907,111,17,self_x,470
758,32010051907,331,18,self_x,960
759,32010051907,271,19,self_x,990
760,32010051907,11,20,self_x,450
761,32010051907,321,21,self_x,950
762,32010051907,61,22,self_x,410
763,32010051907,351,23,self_x,890
764,32010051907,301,24,self_x,910
765,32010051907,21,25,self_x,430
766,32010051907,101,26,self_x,400
767,32010051907,191,27,self_x,680
768,32010051907,221,28,self_x,620
769,32010051907,231,29,self_x,670
770,32010051907,181,30,self_x,660
771,32010051907,211,31,self_x,600
772,32010051907,251,32,self_x,780
773,32010051907,201,33,self_x,690
774,32010051907,261,34,self_x,790
775,32010051907,141,35,self_x,720
776,32010051907,161,36,self_x,620
777,32010051907,241,37,self_x,740
778,32010051907,171,38,self_x,640
779,32010051907,151,39,self_x,700
780,42010050501,341,1,self_x,870
781,42010050501,91,2,self_x,350
782,42010050501,61,3,self_x,410
783,42010050501,111,4,self_x,470
784,42010050501,331,5,self_x,960
785,42010050501,291,6,self_x,890
786,42010050501,321,7,self_x,950
787,42010050501,51,8,self_x,390
788,42010050501,81,9,self_x,330
789,42010050501,11,10,self_x,450
790,42010050501,351,11,self_x,890
791,42010050501,21,12,self_x,430
792,42010050501,381,13,self_x,1050
793,42010050501,271,14,self_x,990
794,42010050501,71,15,self_x,420
795,42010050501,361,16,self_x,940
796,42010050501,121,17,self_x,510
797,42010050501,301,18,self_x,910
798,42010050501,371,19,self_x,1010
799,42010050501,311,20,self_x,930
800,42010050501,41,21,self_x,370
