sid,gid,order,self_x,self_y,other_x,other_y,choice_x,s_y,s_x,r_y,r_x,bf_consciousness,bf_openness,bf_extraversion,bf_agreeableness,bf_neuroticism,cogabil,pe_D1_stud_natsci,pe_D1_stud_law,pe_D1_stud_socsci,pe_D1_stud_med,pe_monthinc,pe_age,pe_female,_merge,missing_data
12010050603,301,25,910,830,520,140,0,0,0,1,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,361,26,940,800,150,510,1,0,0,1,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,201,27,690,510,770,430,0,0,1,1,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,191,28,680,520,780,420,0,0,1,1,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,161,29,620,580,790,410,0,0,1,1,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,181,30,660,540,780,420,0,0,1,1,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,231,31,670,530,420,780,1,1,0,0,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,171,32,640,560,790,410,0,0,1,1,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,211,33,600,600,410,790,1,1,0,0,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,221,34,620,580,410,790,1,1,0,0,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,241,35,740,460,460,740,1,1,0,0,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,151,36,700,500,760,440,1,0,1,1,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,251,37,780,420,540,660,1,1,0,0,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,141,38,720,480,750,450,1,0,1,1,0,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
12010050603,261,39,790,410,600,600,1,1,0,0,1,4.0,18.0,4.0,9.0,7.0,3.0,0.0,0.0,1.0,0.0,800.0,23.0,0.0,both,False
